,Brand,Color,Age Range (Description),Special Feature,Weight Limit,Number of Wheels,Model Name,Wheel Material,Frame Material,Item Weight,Handlebar Type,Handle Height,Wheel Size,Wheel Type,Suspension Type,Grip Type,Brake Style,Warranty Type,Charging Time,Product Dimensions,null,Item Package Dimensions L x W x H,Package Weight,Brand Name,Warranty Description,Material,Suggested Users,Manufacturer,Part Number,Style,Included Components,Size,Sport Type,Price,Product Name,Product Rating,Recommended Uses For Product,Package Dimensions,Country of Origin,ASIN,Item model number,Batteries,Best Sellers Rank,Customer Reviews,Department,Number of Items,Item Dimensions LxWxH,Model Year,Team Name,Hand Orientation,Grip Size,Batteries required,Import,Skill Level,Deck Length,Deck Width,Load Capacity,Rotation Direction,Number Of Items,Bike Type,Manufacturer recommended age,Vehicle Service Type,Pattern,Mounting Type,Strap Type,Capacity,Closure Type,Handle Type,Shell Type,Power Source,Resistance Mechanism,Maximum Weight Recommendation,Maximum Height,Minimum Height,Number of Resistance Levels,Number of Pieces,Exterior Finish,Handle Material,Unit Count,Theme,Is Discontinued By Manufacturer,Release date,Maximum height recommendation,Material Type,Additional product features
270,Doulve,,,"fast e-scooter, wide fat tire",,2,WT10,Rubber,,,,,9 Inches,Solid,Dual Suspension,,dual disc brake,Limited,,,,,,Doulve,"Manufacturer Warranty 180 days. 30 Days Free Return for Any Reason, pls contact seller to provide the return label",,unisex-adult,Doulve,,,,,,699,"Electric Scooter 800W Max Speed 25 Mph & Up to 30 Miles Range, 9"" x 4"" Wide Solid Fat Tire, Foldable Electric Scooter for Adults, Off-Road Sport Scooter for Commuting, UL Certified",Total price:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,RCB,Black,Kid,"Lights, Lightweight, Foldable",6.65 Kilograms,2,R11,Rubber,,14.66 Pounds,Adjustable,38.4 Inches,6.5 Inches,Solid,,,Rear Braking,,5 Hours,,5 Miles,31.5 x 14.5 x 5.5 inches,7.98 Kilograms,RCB,"We have a professional team that provides warranty services and lifetime after-sales consulting services for all our products. If you have any problems while using our products, please contact our customer service team in time. We will reply you as soon as possible and provide you with a satisfactory solution. Email: contact@rcb-scooter.com",Aluminum,Boys and Girls,ZHEJIANG KUANTU INDUSTRY AND TRADE CO LTD,R11,,"Charger, User manual, Allen wrench, Kids Scooter",,,169,"RCB Electric Scooter for Kids Ages 6-12,Up to 9.3 MPH & 5 Miles - Lightweight and Foldable E-Kick Scooter for Kids, Teens & Light up Scooter",3.8,,,,,,,,,,,37.2 x 33.6 x 14.9 inches,,RCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,OKAI,White,Adult,"Dual Braking System, Cruise Control, Wide Platform, Lockable, Foldable",220 Pounds,2,Neon Series,Rubber,Aluminum,35.2 Pounds,Fixed,38 Inches,9 Inches,Neon Lite: Tubeless Neon: Solid + Pneumatic,Rear Suspension,Contoured,Front：electric brake Rear：disc brake,Limited,5.5 Hours,"45""L x 17.7""W x 44.5""H",25 Miles,46.75 x 18 x 8.25 inches,21.27 Kilograms,OKAI,1 Year Limited Warranty,Aluminum,Unisex-adult,"Zhejiang Okai Vehicle Co., Ltd.",ES20,Neon,Electric scooter,,,399,"OKAI Electric Scooter - ES20/ES520 Models, 600W Peak Power Motor, 25-28 Miles Long Range Battery & 15.5 MPH, Commuter E-Scooter for Adults & Teens, Durability, Wide Platform",4.0,Commuting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Redmon,Happy Bike,,"Sturdy and no paint, Sturdy frame is made of powder coated steel, Tension and seat height adjustment, Odometer with time, speed, distance and calories",,,Happy Bike,,,15 pounds,,,,,,,,,,"9""D x 19""W x 20""H",,,,,,Metal,,,,,,,,103,Redmon Fun and Fitness Exercise Equipment for Kids - Happy Bike,& FREE Shipping,Indoor,,,,9202,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,Battery Powered,Friction,100 Pounds,21.5 Inches,25 Inches,2,,,,,,No,,60 Inches,Metal,"Sturdy and no paint, Sturdy frame is made of powder coated steel, Tension and seat height adjustment, Odometer with time, speed, distance and calories"
274,CUNFON,"Black, Red",Adult,"Anti-Puncture Tire, Digital Display, Dual Braking System, Adjustable Handlebar Height, Foldable",264 Pounds,2,LS500,Rubber,Aluminum,48 Pounds,Adjustable,,8.5 Inches,Solid,Dual Suspension,,"Electric Braking, Front Braking, Rear Braking",Limited,5 Hours,"43.7""L x 20.3""W x 47""H",32 Mils,44.88 x 19.69 x 9.8 inches,25 Kilograms,CUNFON,1 year manufacturer,Aluminum Alloy + ABS + PC,Unisex-adult,"Zhuhai ChunFeng Electric Technology Co., Ltd",,,"User Manual, 1X Charger, Accessory Pack",,,549,"CUNFON Electric Scooter Adults - 30 Miles Range 25 mph Speed, 500W Rear Motor, Wide Wheel Solid Tires with Full Suspension, Foldable Commuter E Scooter with APP for Adults Teenagers",Total price:,"Outdoor, Commuting",,,,,,,,,,,,Nb_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Hiboy,Black,Adult,Foldable,220 Pounds,2,VE1 PRO,Rubber,Alloy Steel,48.94 Pounds,Adjustable,40 Inches,16 Inches,Pneumatic,Dual Suspension,,"Rear Braking, Front Braking",Limited,6 Hours,,31 Miles,48.4 x 20 x 10.2 inches,26.38 Kilograms,Hiboy,,Alloy Steel,,Freeman IT Limited,,"VE1 PRO 16""",,"16""Pneumatic tyre",,899,Hiboy Electric Scooter - Electric Scooter for Adults - 31 Miles Long Range & 22Mph Folding Commuter Electric Scooter - Fat Tire Electric Scooter(VE1 PRO/ECOM 14),4.3,,,,,,,,,,,55.1 x 22.4 x 47.4 inches,,Freeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,TOKVTOO,Grey,Adult,"Digital Display, Non Slip Deck, Lightweight, Foldable",350 Pounds,2,G3,Rubber,,55 Pounds,Fixed,50.78 Inches,10 Inches,Pneumatic,Dual Suspension,Ergonomic,Dual disc braking,,8 Hours,,28 Miles,46.2 x 22.63 x 9.84 inches,68.34 Pounds,TOKVTOO,"Provide 6-12 months warranty on different parts (including motor, battery, motor, charger, controller, voltage lock). And we provide 7*24 hours fast after-sales service and 60-day refund policy.",Aluminum,unisex-adult,"Shenzhen RND Electronics Co., Ltd",,,"G3 Electric scooter, Charger, Manual, Screws & Wrench",,,799,"Electric Scooter Adults 30 MPH, Powerful 1200W Motor Foldable Kick Scooter Up to 28-37 Miles, 10"" Tires Sports Scooter Commuting Electric Scooter, Double Shock Absorption and LCD Touch Screen",3.5,,,,,,,,,,,47.24 x 25.98 x 50.78 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Riding'times,Black,Adult,"Dual Disc Brakes & EABS, 11"" Self-healing Tubeless Tires, 20AH Removable Battery, Dual 1200W Brushless Motor, 4-Level Full Suspension",330 Pounds,2,G63,Rubber,,44 Kilograms,Adjustable,,11 Inches,Pneumatic,"dual,dual suspension",,"EABS System, Dual Disc Brake",,,,,58 x 19 x 10 inches,44 Kilograms,Riding'times,1 year manufacturer,Carbon Steel,unisex-adult,"Shenzhen Riding Robot Tech Co., Ltd.",G63,"2400W,20AH",electric scooter,,,"1,299","Riding'times 2400W Electric Scooter with 20AH Removable Battery, Up to 37Mph & 60Miles Long Range, 11"" Tubeless Tire, Off Road Dual Motor Commuter E Scooter with APP",& FREE Shipping,,,,,,,,,,,58.27 x 9.84 x 19.29 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,OKAI,Black,All Ages,"Seat, Replaceable Battery, Cruise Control, Wide Platform, Lockable",220 Pounds,2,EA10C,Rubber,Aluminum,64 Pounds,Fixed,,10 Inches,Tubeless,,,Mechanical drum brake + electronic brake,Limited,,"45""L x 21""W x 41""H",34 Miles,46 x 21 x 13 inches,34.47 Kilograms,OKAI,Limited Warranty,Aluminum & quality PVC shell,Unisex-adult,"Zhejiang Okai Vehicle Co., Ltd.",EA10C,EA10 Pro,Electric scooter,,,736,"OKAI EA10 Electric Scooter with Seat, Up to 35 Miles Range & 15.5MPH, Moped Scooter Bike for Adults with 10 Inch Vacuum Tires",& FREE Shipping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,EFGTEK,2800 Watt Single Motor,,"foldable, LCD-Display",150 Kilograms,2,ES07,Rubber,Aluminum,28 Kilograms,,,11 Inches,Proto Gripper Wheels,Dual Suspension,,,Limited,,"52.8""L x 52.3""W x 10""H",,,33 Kilograms,EFGTEK,"Ship from California,Delivery time is about 3 days to 5 days.Detailed support contact EFGTEK USA TEAM.This regulation applies to: Motor,Motor hub ,Controllers,Chargers,Lithium ion battery, Frame,Handlebar,LED front lights,Throttle ,Scooter stem,Forks,LCD display ,6 months and it can be changed for free.",Alloy Steel,unisex-adult,EFGTEK,ES07,All-season,,,Cycling,"1,099","Off Road Electric Scooter for Adults,EFGTEK 33 Mph to 50 Mph 2800W Single Motor/5600W Dual Motor Sports Heavy Duty 11 Inch Vacuum tire 60V 15Ah/28Ah Foldable E Scooter with Despatchable Seat",3.7,,,,,,,,,,1,,2023,EFGTEK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Kikpop,56 miles with seat,Adult,"Anti-Puncture Tire, Regenerative Braking System, Cruise Control, Adjustable Handlebar Height, Dual Charging Port",200 Kilograms,2,,Rubber,Alloy Steel,39 Kilograms,"Adjustable, Fixed",50 Inches,11 Inches,Pneumatic,Dual Suspension,Lock-On,"Front Braking, Rear Braking",Limited,6 Hours,,50 Miles,,,Kikpop,"any quality problem or need return, please take PHOTOS OR VIDEO and CONTACT US then you will get FREE REPLACEMENT OR A REPAID LABLE with no penys., it is advised to KEEP the original PACKAGE for some time in case for any issues of returning.",Alloy Steel,unisex-adult,"Dongguan Lvkang Energy Saving Technology Co., LTD",,Off road dual motor electric scooter for adults with seat,"install tools, Electric scooter, Seat, bag, chargers",,,"1,099","Electric Scooter Adults 50 MPH with Seat, 60v 2800W Dual Motor Sport Scooter for Adults 50 Miles Trip, Disc Brakes+EABS, 11"" Off-Road Pneumatic Fat Tires, 3 Shock Absorbers High Power Adults Scooter",4.3,"Off Road, Stunts, Commuting",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Hover-1,Black,Adult,"Non Slip Deck, Lights, Foldable",265 Pounds,2,H1-BSS,Rubber,,26.54 Kilograms,Adjustable,,10 Inches,Honeycomb,Dual Suspension,,"Front Braking, Rear Braking",Limited,6 Hours,,24 Miles,47.4 x 22.6 x 8.8 inches,26.54 Kilograms,Hover-1,1 Year Warranty,Aluminum,Unisex-adult,DGL Group,H1-BSS-BLK,Modern,"Hover-1 Boss Electric Scooter, Manual, Charger",Medium,,799,"Hover-1 Pro Series Boss Foldable Electric Scooter with 500W Brushless Motor, 20 mph Max Speed, 10” Honeycomb Tires and 24 Mile Range",4.6,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,ADVANRIDE,White,Adult,,100 Kilograms,2,L1 PLUS,Rubber,,,Adjustable,,,Solid,Dual Suspension,,Rear Braking,,,,,50 x 21.6 x 8 inches,18.21 Kilograms,ADVANRIDE,,,Unisex-adult,Shenzhen Tomoloo Technology Industrial Co Ltd,,,,,,249,"ADVANRIDE Electric Scooter for Adults with Led Lights and UL2272 Certifled,10'' Solid Tires Adult Scooter Folding Commuting Electric Scooters with Shock Absorption Spring and APP Connected Safe Lock",3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,LEQISMART,A8-Black,Adult,"Foldable & Portable, 374Wh lithium battery, APP Support, 9"" Pneumatic Tires, Light Sensitive Headlight",265 Pounds,2,A8-Black,Rubber,Aluminum,34.2 Pounds,Adjustable,,9 Inches,气动的,Dual Suspension,,Rear Braking,Limited,5.5 Hours,"44.3""L x 17.3""W x 46.5""H",28 Mils,45.63 x 19.25 x 7.63 inches,19.57 Kilograms,LEQISMART,One Year Warranty,Carbon Fiber,"Unisex-Youth, Unisex- Adults",Shenzhen Leqi Intelligent Technology Co Ltd,,Casual,"Screws, T-shape Allen key, Charger",,Riding,639,"LEQISMART Electric Scooter, Electric Scooter for Adults with 9"" Solid Tires & 350W Motor,Dual Brakes, Foldable Electric Scooter, Max 28Miles Range &Up to15.5MPH",4.1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,MoNiBloom,,,"LED-Display, Waterproof, Wheels, Folding, Digital-display",,2,S8,Solid tires,Aluminum,21.72 Pounds,Adjustable,,6.8 Inches,Solid,Rear Suspension,Foldable,"EABS Brake, Rear Fender Brake",,,,,42.91 x 11.42 x 7.87 inches,27.56 Pounds,MoNiBloom,,Aluminum,Unisex-adult,MoNiBloom,S8,,,,,239,"MoNiBloom E-Scooter Top 19 Mph & 14 Mile Range, 6.8"" Solid Tire Folding Electric Scooter w/EABS & Rear Fender Dual Brake System, Adults and Teens Urban Commuting, App Cruise Control and LED Display",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,Razor,Blue,Kid,"Adjustable Handlebar Height, Foldable",143 Pounds,2,A,Polyurethane,Aluminum,4.62 Pounds,Adjustable,23.6 Inches,98 Millimeters,Solid,,,Rear Braking,,,"23.9""L x 11.3""W x 32.4""H",32 Miles,24 x 7.4 x 4 inches,2.43 Kilograms,Razor,90 day Limited Manufacturer,Aluminum,Unisex-teen,"Razor USA, LLC",13010049,A,Razor A Kick Scooter & Owner's Manual,Frustration Free Packaging,,29,"Razor A Kick Scooter for Kids - Lightweight, Foldable, Aluminum Frame, and Adjustable Handlebars",Total price:,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,VelCying,Titan Pro,Adult,"Lights, Wide Platform, Foldable",,2,K8,Rubber,Alloy Steel,,,,11.98 Inches,Pneumatic,"Dual,dual suspension",,"Rear Braking, Front Braking",,,"49.2""L x 25.2""W x 51.6""H",65 Miles,,,VelCying,180 Days Warranty,Alloy Steel,Unisex-adult,"Dongguan Yabaoxun Technology Co.,Ltd",K8,"K8-12""(70Mile)",,,,"1,580","Adults Electric Scooter, velCying Titan Pro SuperScooter - Dual 2800W Motor, 50 MPH & 65 Miles, Ambient Light, Electric Scooter Adults for Commuting, 12"" Vaccum Tires, Dual Suspension",4.0,,,,,,,,,,,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,tifgalop,black,Adult,"Dual Braking System, Lights, Wide Platform, Dual Charging Port",250 Kilograms,2,K8,Rubber,,53 Kilograms,Adjustable,,12 Inches,Pneumatic,Dual Suspension,Folding,Front Braking,Limited,,"49.2""L x 25.2""W x 51.6""H",65 Miles,53 x 23 x 13 inches,125 Pounds,tifgalop,90 days,Alloy Steel,unisex-adult,"Dongguan Yabaoxun Technology Co., Ltd",,K8 38AH 70miles,,aldult,off-road riding,"1,598","Adult Electric Scooter Series Dual Drive 5600W-6000W Motor, Max Speed 50mph, Max Range 60~70 Miles, All Terrain Off-Road Tires, Electric Scooter with Detachable Seat",4.0,,,,,,,,,,1,,2023,tifgalop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,AMZCARS,White,Kid,Always make sure that your child wears a safety-approved helmet to ride the SCOOTER.Falling off the Mini and the Maxi scooter without such safety precautions may cause serious or even fatal accidents. Warning: Protective equipment should be worn.,132 Pounds,3,,Polyurethane,Aluminum,5.9 Pounds,Adjustable,35.4 Inches,120 Micron,Solid,Front Suspension,绝缘体,Rear Braking,,,,,23.5 x 11 x 5.75 inches,2.68 Kilograms,AMZCARS,,Aluminum,"unisex-child, boys, girls",,AMZCARS-06,,,,,49,"Kick Scooter for Kids, 3 Wheels Toddlers Scooter for 6 Years Old Boys Girls Learn to Steer, Kids Scooter 4 Adjustable Height, Extra-Wide Deck, Flashing Wheel Lights for Children Gifts",Total price:,,,,,,,,,,,18 x 9 x 25 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,AVPLUS,Dark Black,Adult,Foldable,220 Pounds,2,S20,Rubber,Aluminum,31 Pounds,Adjustable,,10 Inches,Solid,,,Front Braking,,,,,40 x 19 x 5 inches,30 Pounds,AVPLUS,"30 days unconditional return, refund and exchange, 180days limited exchange, return.",Aluminum,unisex-adult,"Shenzhen Grandpower New Energy Development Co.,Ltd",S20,,"Electric scooter, User manual",,,199,"AVPLUS Electric KickScooter, Powerful 500W Motor, 10"" Solid Tires, Speed up to19-22 Mph,18-22Miles Range, Smart and Large LCD Display Folding Commuter Electric Scooter for Adults",4.9,,,,,,,,,,,42 x 5.9 x 20 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,Razor,White/Blue,Adult,"Razor E300 Electric Scooter - 9"" Air-filled Tires, Up to 15 mph and 10 Miles Range, White/Blue",220 Pounds,2,E300 Electric Scooter,Polyurethane,Alloy Steel,43 Pounds,Adjustable,25 Inches,9 Inches,"Solid,Pneumatic",Front Suspension,,Rear Braking,,12 Hours,"40""L x 16.5""W x 42.5""H",10 Miles,41.34 x 19.69 x 9.06 inches,22.5 Kilograms,Razor,90 Day Manufacturer,"plastic, Aluminum",unisex-teen,"Razor USA, LLC",13113683,Standing Ride (E300),E300 Electric Scooter,One Size,Outdoor Lifestyle,309,"Razor E300 Electric Scooter - 9"" Air-filled Tires, Up to 15 mph and 10 Miles Range, White/Blue",& FREE Shipping,,,,,,,,,,1,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Razor,Blue,Kid,,,2,E125,Polyurethane,Alloy Steel,,,,,Pneumatic,Front Suspension,,Front Braking,,,,,34 x 16.6 x 8.4 inches,60.6 Pounds,Razor,,,,Razor,2 x 13111141,,,,,347,Razor E125 Motorized 24-Volt Rechargeable Girls Electric Scooter (2 Pack),Total price:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,Gyroor,4-Orange,Adult,"Lights, Adjustable Handlebar Height",177 Pounds,2,H40,Rubber,,17.2 Pounds,Adjustable,39.4 Inches,6.5 Inches,Solid,,,"Front Braking, Rear Braking",Limited,2 Hours,,,34.15 x 15.8 x 6.45 inches,9.03 Kilograms,Gyroor,180 days,Aluminum,unisex-teen,Gyroor,H40,Scooter,"Electric Scooter, Charger, screws",,,232,"Gyroor Kids Electric Scooter, with 200W Motor & LED Visible Display, Colorful Lights, Adjustable Speed and Height, 10 Mph & 10 Miles Range Electric Scooter, Electric Scooter for Kids Ages 8-12, Orange",4.4,,,,,,,,,,,34.15 x 15.8 x 6.45 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,ADVANRIDE,,,"Portable, Foldable",265 Pounds,2,F2,Rubber,,,,,12 Inches,Pneumatic,Dual Suspension,,,,,,,50.2 x 26.9 x 10.8 inches,62 Pounds,ADVANRIDE,,,,"Shenzhen TOMOLOO Technology Industrial Co.,Ltd.",F2,,,,,399,"Electric Scooter Adults F2 Off Road 12"" Big Tires 40 Miles Range Rated 350W Motor 15.5MPH Foldable Heavy Duty Commuting E-Scooter Triple Brake System Folding Kick Scooter UL2272 Certified",Total price:,,,,,,,,,,,48.8 x 233.6 x 46.5 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,IENYRID,Black,Adult,Foldable,330 Pounds,2,IE-M4 PRO,Rubber,Aluminum,62 Pounds,Adjustable,,10 Inches,Pneumatic,Dual Suspension,,Front Braking,Limited,,,22 Miles,47 x 20 x 10 inches,66 Pounds,IENYRID,Please refer to warranty card instructions.,Aluminum,Unisex-adult,"Shenzhen Tianshengle Robot Co., Ltd.",,,"1x Electric Kick Scooter, 1x Charger, 1x Manual, 1x Seat",,,589,"Electric Scooter with Seat for Adults, 800W Adult Kick Scooter 48V/16Ah Commuter E-Scooter, Foldable Men's Pro Scooter Up to 28mph, Dual Suspension Off Road Sport Scooters, 30 Miles Long Range",,,,,,,,,,,,45.28 x 24.02 x 49.21 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,ZonDoo,Dark Grey,,Wide Wheel Solid Tires with Front and Rear Shock Absorbers,265 Pounds,2,Electric Scooter Adults,Aluminum,,46 Pounds,Fixed and robust handle bar,47 Inches,9 Inches,Solid,Front & Rear Dual Suspension,Ergonomic,Front and Rear Dual Disc Brakes with EABS,Limited,5 Hours,,30 Miles,44.75 x 20 x 9.25 inches,24.95 Kilograms,ZonDoo,"3 months - 1 year warranty for different parts, please contact us for details.",Aluminum,Unisex-adult,"Shenzhen ZonD Technology Co.,Ltd.",,Streamlined designs Foldable Portable & Foldable Electric Scooter,"Tool Kit *1, Electric Scooter *1, User Manual *1, Charger *1",,,599,"ZonDoo ZU08 Electric Scooter Adults -500W Rear Motor 25MPH Speed 30 Miles Range,9""*4"" Wide Wheel Solid Tires with Full Suspension Commuter E Scooter for Adults and Teenagers",,,,,,,,,,,,43 x 24 x 47 inches,,ZonDoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,RCB,black-2,Adult,wide pedal,330 Pounds,2,R10X,Polyurethane,,48 Pounds,Fixed,45.94 Inches,10 Inches,Solid,Dual Suspension,Left +Right,Rear Braking,,6 Hours,"46.69""L x 20""W x 45.94""H",25 Miles,46.75 x 21.75 x 8.12 inches,25.4 Kilograms,RCB,1,Alloy Steel,unisex-adult,"SHENZHEN SHINDOM TECHNOLOGY CO.,LTD",R10X,,"Body Frame, Wheels, Charger, Left +Right",,Skateboarding,649,"RCB Electric Scooter Adults, 500W Motor &18 MPH, W. Capacity 330lbs, Double Shock Absorption, Portable Folding Commuting Electric Scooter for Adults 20-25 Miles Long Range & 10"" Inner Honeycomb Tires",4.0,,,,,,,,,,1,,,RCB,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,Razor,Black,Adult,"Portable, Lights, Foldable",220 Pounds,2,Razor Jr,Polyurethane,"Aluminum Fork:Steel Grips:“Prism” design, molded in soft rubber",24.2 Pounds,The height of the handlebars is not adjustable,40.94 Inches,1 Millimeters,Solid,"Electronic, thumb-activated paddle and rear-fender controlled",,Rear Braking,90-day Warranty,6 Hours,,15 Miles,35.6 x 14.2 x 7.3 inches,13.47 Kilograms,Razor,Manufacturer Warranty,Aluminum,Unisex-adult,"Razor USA, LLC",13111818,E Prime 3,Razor Electric Scooters - E Prime III Electric Scooter,One Size,Outdoor Lifestyle,406,Razor E Prime Electric Scooter for Teens and Adults,& FREE Shipping,,,,,,,,,,1,36 x 7 x 14.5 inches,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,Razor,Silver,Big Kid,,120 Pounds,2,,Rubber,Alloy Steel,25.3 pounds,Adjustable,,8 Inches,"Solid,Pneumatic",Front Suspension,,"Hand-operated,caliper, front",,6 Hours,33.86 x 8.07 x 16.93 inches,9.94 Miles,,,,,,,Razor,,,,,,195,"Razor E100 Kids Ride On 24V Motorized Powered Electric Scooter Toy, Speeds up to 10 MPH with Brakes and 8-Inch Pneumatic Tires, Ages 8 and Up, Silver",3.9,,,,B003D5WXL8,13181112,2 Product Specific batteries required. (included),"#125,021 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#431 in Sport Scooters","3.9
129 ratings
3.9 out of 5 stars",Unisex,,33.86 x 8.07 x 16.93 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,
300,MoNiBloom,,,"LED-Display, Waterproof, Wheels, Folding, Digital-display",,2,S8,Solid tires,Aluminum,21.72 Pounds,Adjustable,,6.8 Inches,Solid,Rear Suspension,Foldable,"EABS Brake, Rear Fender Brake",,,,,42.91 x 11.42 x 7.87 inches,27.56 Pounds,MoNiBloom,,Aluminum,Unisex-adult,MoNiBloom,S8,,,,,239,"MoNiBloom E-Scooter Top 19 Mph & 14 Mile Range, 6.8"" Solid Tire Folding Electric Scooter w/EABS & Rear Fender Dual Brake System, Adults and Teens Urban Commuting, App Cruise Control and LED Display",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,HUDORA,Pink,Kid,Adjustable Handlebar Height,220 Pounds,2,Scooters,Polyurethane,Aluminum,4.17 Kilograms,,41 Inches,8 Inches,Solid,Dual Suspension,Contoured,Rear Braking,Limited,12 Hours,,,36.5 x 13.2 x 9.5 inches,4.81 Kilograms,HUDORA,Limited,Aluminum,Unisex-teen,HUDORA,205-14709,Sports,Scooter,8 INCH,"Cycling, Scooter",72,"HUDORA Scooter for Kids Ages 6-12 - Scooter for Kids 8 Years and Up, Scooters for Teens 12 Years and Up, Adult Scooter with Big Wheels, Lightweight Durable All-Aluminum Frame Scooter",,,,,,,,,,,1,35 x 13 x 41 inches,2023,Teens Scooters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Hiboy,Black,Adult,Folding,220 Pounds,2,MAX3,Rubber,,40 Pounds,Adjustable,37.4 Inches,10 Inches,Solid,Dual Suspension,,Rear Braking,,4 Hours,"45.1""L x 19.5""W x 43.5""H",17 Miles,42.6 x 15.2 x 9 inches,21.52 Kilograms,Hiboy,12-month or 6-month warranty for different parts,Metal,adults,Freeman IT Limited,R10,,electric scooter,,,399,"Hiboy MAX3 Electric Scooter, 350W Motor 10"" Pneumatic Off Road Tires Up to 17 Miles & 18.6 MPH, Adult Electric Scooter for Commute and Travel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,RCB,Black,Kid,"Lights, Lightweight, Foldable",6.65 Kilograms,2,R11,Rubber,,14.66 Pounds,Adjustable,38.4 Inches,6.5 Inches,Solid,,,Rear Braking,,5 Hours,,5 Miles,31.5 x 14.5 x 5.5 inches,7.98 Kilograms,RCB,"We have a professional team that provides warranty services and lifetime after-sales consulting services for all our products. If you have any problems while using our products, please contact our customer service team in time. We will reply you as soon as possible and provide you with a satisfactory solution. Email: contact@rcb-scooter.com",Aluminum,Boys and Girls,ZHEJIANG KUANTU INDUSTRY AND TRADE CO LTD,R11,,"Charger, User manual, Allen wrench, Kids Scooter",,,169,"RCB Electric Scooter for Kids Ages 6-12,Up to 9.3 MPH & 5 Miles - Lightweight and Foldable E-Kick Scooter for Kids, Teens & Light up Scooter",3.8,,,,,,,,,,,37.2 x 33.6 x 14.9 inches,,RCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,,,,,,,,,,,,,,,,,,,,,,12.01 x 5.98 x 0.94 inches,0.2 Kilograms,plplaaoo,,,,plplaaoo,plplaaoosc280kanzf,,,,,19,"Electric Scooter Pedal Tape Sticker,Foot Pad Pedal Rubber Foot Mat Pedal Scooter Pedal Mat Scooter Accessory Electric Scooter Foot Pad Simple Silicone Antiskid Pedal Sticker for Ninebot Max G30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
